"loc_id","crd_id","lat","long","elevation_wc25","koeppen","country","continent","koeppen_gr"
"l_816",816,60.497167,18.431033,6,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_817",817,38.775192,-1.410222,877,"Arid Steppe - Cold","Spain","Europe","Arid"
"l_818",818,50.86328,4.723935,52,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_819",819,58.342325,11.218029,6,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_820",820,50.145056,5.077083,149,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_821",821,60.02165392,19.90212386,,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_822",822,45.093706,36.31065,56,"Arid Steppe - Cold","Ukraine","Europe","Arid"
"l_823",823,55.702406,-2.340828,70,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_824",824,48.806033,9.172572,289,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_825",825,48.806308,9.171758,289,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_826",826,37.918978,46.707003,2006,"Arid Steppe - Cold","Iran","Asia","Arid"
"l_827",827,50.828389,4.639917,45,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_828",828,50.828356,4.639056,45,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_829",829,52.421464,31.013781,126,"Cold - Without dry season - Warm summer","Belarus","Europe","Continental"
"l_830",830,51.26207,3.276039,1,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_831",831,38.779311,-1.434997,887,"Arid Steppe - Cold","Spain","Europe","Arid"
"l_832",832,61.964047,129.630956,105,"Cold - Without dry season - Cold summer","Russia","Asia","Continental"
"l_833",833,55.697661,-2.343433,70,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_834",834,30.562365,114.390107,23,"Temperate - Without dry season - Hot summer","China","Asia","Temperate"
"l_835",835,43.691944,10.288889,0,"Temperate - Dry summer - Hot summer","Italy","Europe","Temperate"
"l_836",836,37.148067,-6.03655,3,"Temperate - Dry summer - Hot summer","Spain","Europe","Temperate"
"l_837",837,59.811111,30.133056,22,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_838",838,55.624333,69.208667,87,"Cold - Without dry season - Warm summer","Russia","Asia","Continental"
"l_839",839,45.032708,100.660481,1276,"Arid Desert - Cold","Mongolia","Asia","Arid"
"l_840",840,59.994906,30.473075,17,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_841",841,67.68696,12.67197,84,"Temperate - Without dry season - Cold summer","Norway","Europe","Temperate"
"l_842",842,48.779872,9.182967,340,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_843",843,33.230073,35.765108,1050,"Temperate - Dry summer - Hot summer","Israel","Asia","Temperate"
"l_844",844,32.243663,34.85448,24,"Temperate - Dry summer - Hot summer","Israel","Asia","Temperate"
"l_845",845,55.763472,37.581583,150,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_846",846,35.034058,33.954928,63,"Temperate - Dry summer - Hot summer","Cyprus","Asia","Temperate"
"l_847",847,53.212919,48.488211,86,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_848",848,48.766636,16.742479,184,"Temperate - Without dry season - Warm summer","Czechia","Europe","Temperate"
"l_849",849,31.490714,-9.76443,18,"Arid Steppe - Hot","Morocco","Africa","Arid"
"l_850",850,67.527408,12.126793,0,"Temperate - Without dry season - Cold summer","Norway","Europe","Temperate"
"l_851",851,51.560339,-106.356658,600,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_852",852,54.2076,10.4236,42,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_853",853,30.511335,34.612099,948,"Arid Desert - Cold","Israel","Asia","Arid"
"l_854",854,51.734411,-1.336264,84,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_855",855,47.51696,8.831272,520,"Temperate - Without dry season - Warm summer","Switzerland","Europe","Temperate"
"l_856",856,35.032759,33.955054,63,"Temperate - Dry summer - Hot summer","Cyprus","Asia","Temperate"
"l_857",857,35.03148,33.973762,83,"Temperate - Dry summer - Hot summer","Cyprus","Asia","Temperate"
"l_858",858,45.222097,36.684803,38,"Arid Steppe - Cold","Russia","Europe","Arid"
"l_859",859,36.871828,-5.861547,123,"Temperate - Dry summer - Hot summer","Spain","Europe","Temperate"
"l_860",860,36.978361,-6.477639,10,"Temperate - Dry summer - Hot summer","Spain","Europe","Temperate"
"l_861",861,52.531061,-1.955869,130,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_862",862,60.05095,5.074448,,"Temperate - Without dry season - Warm summer","Norway","Europe","Temperate"
"l_863",863,37.127934,-6.481599,11,"Temperate - Dry summer - Hot summer","Spain","Europe","Temperate"
"l_864",864,48.53,44.486944,59,"Arid Steppe - Cold","Russia","Europe","Arid"
"l_865",865,48.206647,11.709717,505,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_866",866,31.778213,35.220601,743,"Temperate - Dry summer - Hot summer","Palestine","Asia","Temperate"
"l_867",867,46.796389,19.185,91,"Temperate - Without dry season - Hot summer","Hungary","Europe","Temperate"
"l_868",868,32.255706,34.853272,23,"Temperate - Dry summer - Hot summer","Israel","Asia","Temperate"
"l_869",869,51.620456,-1.386222,85,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_870",870,37.071106,-6.272406,2,"Temperate - Dry summer - Hot summer","Spain","Europe","Temperate"
"l_871",871,45.221667,36.808333,54,"Arid Steppe - Cold","Russia","Europe","Arid"
"l_872",872,48.775317,16.723528,184,"Temperate - Without dry season - Warm summer","Czechia","Europe","Temperate"
"l_873",873,46.8,19.133333,92,"Temperate - Without dry season - Hot summer","Hungary","Europe","Temperate"
"l_874",874,50.1005,95.150167,1165,"Arid Steppe - Cold","Russia","Asia","Arid"
"l_875",875,52.073,93.723,832,"Cold - Without dry season - Warm summer","Russia","Asia","Continental"
"l_876",876,63.44899,10.4529,51,"Cold - Without dry season - Warm summer","Norway","Europe","Continental"
"l_877",877,37.519204,14.307349,684,"Temperate - Dry summer - Hot summer","Italy","Europe","Temperate"
"l_878",878,55.707653,-2.190378,37,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_879",879,54.176906,10.806683,64,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_880",880,47.557769,8.862608,406,"Temperate - Without dry season - Warm summer","Switzerland","Europe","Temperate"
"l_881",881,54.281929,10.966506,4,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_882",882,48.7833,16.7899,190,"Temperate - Without dry season - Warm summer","Czechia","Europe","Temperate"
"l_883",883,50.12536111,14.86866667,194,"Temperate - Without dry season - Warm summer","Czechia","Europe","Temperate"
"l_884",884,37.685468,12.617532,47,"Temperate - Dry summer - Hot summer","Italy","Europe","Temperate"
"l_885",885,50.935361,6.927944,54,"Temperate - Without dry season - Warm summer","Germany","Europe","Temperate"
"l_886",886,40.703997,23.144222,66,"Arid Steppe - Cold","Greece","Europe","Arid"
"l_887",887,52.453583,-1.919444,146,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_888",888,51.527556,-0.158147,32,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_889",889,42.19007769,-79.44642612,407,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_890",890,30.71914444,-81.47331073,3,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_891",891,30.52123452,-81.49864326,3,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_892",892,31.16107132,-81.46444654,4,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_893",893,42.9261154,-70.80705876,14,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_894",894,51.823389,5.9425,52,"Temperate - Without dry season - Warm summer","Netherlands","Europe","Temperate"
"l_895",895,56.367302,9.333352,59,"Temperate - Without dry season - Warm summer","Denmark","Europe","Temperate"
"l_896",896,50,-123.875647,936,"Temperate - Without dry season - Warm summer","Canada","North America","Temperate"
"l_897",897,50,-124.031446,415,"Temperate - Without dry season - Warm summer","Canada","North America","Temperate"
"l_898",898,56.099821,9.783578,56,"Temperate - Without dry season - Warm summer","Denmark","Europe","Temperate"
"l_899",899,56.121454,10.213345,55,"Temperate - Without dry season - Warm summer","Denmark","Europe","Temperate"
"l_900",900,56.160444,10.190847,21,"Temperate - Without dry season - Warm summer","Denmark","Europe","Temperate"
"l_901",901,33.46855878,-80.85587333,64,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_902",902,33.42389312,-90.91534369,35,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_903",903,48.44710748,-97.17784902,241,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_904",904,30.26183657,-110.61092,1098,"Arid Steppe - Hot","Mexico","North America","Arid"
"l_905",905,37.228538,-80.42299827,624,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_906",906,34.45973777,-96.62867687,324,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_907",907,43.637947,4.846958,36,"Temperate - Dry summer - Hot summer","France","Europe","Temperate"
"l_908",908,55.735,13.152778,24,"Temperate - Without dry season - Warm summer","Sweden","Europe","Temperate"
"l_909",909,18.78631298,73.35167099,293,"Tropical Monsoon","India","Asia","Tropical"
"l_910",910,24.72637999,90.43517229,14,"Temperate - Dry winter - Hot summer","Bangladesh","Asia","Temperate"
"l_911",911,18.78650956,73.34318314,293,"Tropical Monsoon","India","Asia","Tropical"
"l_912",912,35.78543124,-78.6812824,116,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_913",913,39.07186781,-92.39223945,215,"Cold - Without dry season - Hot summer","United States of America","North America","Continental"
"l_914",914,-0.37,31.9,1140,"Tropical Savannah","Uganda","Africa","Tropical"
"l_915",915,0.031840788,32,1187,"Tropical Savannah","Uganda","Africa","Tropical"
"l_916",916,34.0461375,-81.20958877,110,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_917",917,33.27686386,-81.55207848,86,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_918",918,33.26547278,-81.54240207,86,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_919",919,33.23803042,-81.51411608,69,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_920",920,44.00719487,-91.46115999,220,"Cold - Without dry season - Hot summer","United States of America","North America","Continental"
"l_921",921,35.20103495,-97.44532833,350,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_922",922,-33.97647361,18.42593912,325,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_923",923,38.44684411,-90.67162724,173,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_924",924,31.86797346,-116.6652513,46,"Arid Steppe - Cold","Mexico","North America","Arid"
"l_925",925,32.84713731,-110.7168863,711,"Arid Desert - Hot","United States of America","North America","Arid"
"l_926",926,39.55184074,-88.57931685,192,"Cold - Without dry season - Hot summer","United States of America","North America","Continental"
"l_927",927,45.17059335,-63.38547641,32,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_928",928,39.71867,-76,139,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_929",929,25.68415432,91.91355903,965,"Temperate - Dry winter - Hot summer","India","Asia","Temperate"
"l_930",930,38.64652251,-121.2254172,60,"Temperate - Dry summer - Hot summer","United States of America","North America","Temperate"
"l_931",931,51.10434718,-119.5157005,1611,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_932",932,51.63017981,-124.1381729,1284,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_933",933,49.27905946,-121.9059979,359,"Temperate - Without dry season - Warm summer","Canada","North America","Temperate"
"l_934",934,52.42121833,-120.9993464,856,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_935",935,50.96835303,-119.7002076,648,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_936",936,50.4817854,-122.6086808,836,"Cold - Dry summer - Warm summer","Canada","North America","Continental"
"l_937",937,49.31984173,-121.8832305,154,"Temperate - Without dry season - Warm summer","Canada","North America","Temperate"
"l_938",938,49.07895169,-119.5232269,394,"Arid Steppe - Cold","Canada","North America","Arid"
"l_939",939,54.0392473,-124.9670961,791,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_940",940,-43.86159256,172.2839093,10,"Temperate - Without dry season - Warm summer","New Zealand","Oceania","Temperate"
"l_941",941,43.577778,-79.70175,152,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_942",942,50.01738558,-125.3038607,98,"Temperate - Dry summer - Warm summer","Canada","North America","Temperate"
"l_943",943,-1.267,33.225,1134,"Tropical Savannah","United Republic of Tanzania","Africa","Tropical"
"l_944",944,-33.98170272,18.42186442,325,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_945",945,36.27960353,-105.2482767,2711,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_946",946,33.21210918,-97.14901333,209,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_947",947,35.18315716,-97.43408502,350,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_948",948,33.20779555,-97.15268306,201,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_949",949,29.70914734,-98.12480669,205,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_950",950,31.63262771,-110.7038372,1466,"Arid Steppe - Cold","United States of America","North America","Arid"
"l_951",951,31.62785327,-110.7089346,1437,"Arid Steppe - Cold","United States of America","North America","Arid"
"l_952",952,37.8805094,-93.31818718,265,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_953",953,54.05,-111,645,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_954",954,66.58,-71.38,29,"Polar Tundra","Canada","North America","Polar"
"l_955",955,54.24,-110.91,539,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_956",956,63.75,-68.49,68,"Polar Tundra","Canada","North America","Polar"
"l_957",957,42.7749142,-78.68461369,279,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_958",958,32.83998968,-110.7147396,711,"Arid Desert - Hot","United States of America","North America","Arid"
"l_959",959,54.387199,-3.034932053,179,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_960",960,-42.3911,146.5011,316,"Temperate - Without dry season - Warm summer","Australia","Oceania","Temperate"
"l_961",961,54.24364508,-3.01506803,13,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_962",962,46,-66.02475,0,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_963",963,54.24749893,-0.70201124,54,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_964",964,69.08563847,19.3365796,288,"Cold - Without dry season - Cold summer","Norway","Europe","Continental"
"l_965",965,46.63442598,-53.2116154,56,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_966",966,46.64521091,-53.1907436,53,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_967",967,42.59,-73,539,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_968",968,46.68010529,-53.12903854,86,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_969",969,46.64925855,-53.18259594,53,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_970",970,46.66370381,-53.20880367,56,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_971",971,46.67899158,-53.15591705,86,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_972",972,-27.162272,152.280958,253,"Temperate - Without dry season - Hot summer","Australia","Oceania","Temperate"
"l_973",973,40.69774733,-111.7260461,2215,"Cold - Dry summer - Warm summer","United States of America","North America","Continental"
"l_974",974,38.735565,-121.491178,11,"Temperate - Dry summer - Hot summer","United States of America","North America","Temperate"
"l_975",975,48.00568486,-90.16415944,592,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_976",976,48.08049759,-90.35025273,529,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_977",977,-32.430056,19.175561,1028,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_978",978,33.0135028,-98.66742656,330,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_979",979,32.85871102,-98.41174019,316,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_980",980,32.16288547,-97.50383991,186,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_981",981,35.06371881,-97.48851782,340,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_982",982,32.8653062,-98.21356502,289,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_983",983,32.64286657,-98.10164198,251,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_984",984,39.62115193,-111.2275701,2735,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_985",985,45.17603202,-116.7258978,974,"Arid Steppe - Cold","United States of America","North America","Arid"
"l_986",986,34.38319175,-111.0973447,2233,"Temperate - Dry summer - Hot summer","United States of America","North America","Temperate"
"l_987",987,50.74656459,-1.533492109,0,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_988",988,15.59469163,32.50617775,383,"Arid Desert - Hot","Sudan","Africa","Arid"
"l_989",989,52.37774425,18.31605969,93,"Cold - Without dry season - Warm summer","Poland","Europe","Continental"
"l_990",990,-23.733333,-64.633333,483,"Temperate - Dry winter - Hot summer","Argentina","South America","Temperate"
"l_991",991,31.59155068,-91.42438503,24,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_992",992,29.73999631,-92.81734217,3,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_993",993,34.96824502,-93.37397937,122,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_994",994,-32.362955,19.044911,972,"Temperate - Dry summer - Hot summer","South Africa","Africa","Temperate"
"l_995",995,-26.098261,27.967744,1548,"Temperate - Dry winter - Warm summer","South Africa","Africa","Temperate"
"l_996",996,-26.305325,28.015389,1569,"Temperate - Dry winter - Warm summer","South Africa","Africa","Temperate"
