"ref_code","ref_source","ref_language","pub_year","ref_info","ref_info_orig","ref_doi","ref_journal_orig","study_id"
"Taylor_et_al_2005","Cereja_2020","english",2005,"Taylor, J.R., Cook, M.M., Kirkpatrick, A.L., Galleher, S.N., Eme, J. and Bennett, W.A., 2005. Thermal tactics of air-breathing and non air-breathing gobiids inhabiting mangrove tidepools on Pulau Hoga, Indonesia. Copeia, 2005(4), pp.886-893.",,"10.1643/0045-8511(2005)005[0886:TTOAAN]2.0.CO;2","Copeia","s_366"
"Eme_&_Bennett_2009","GlobTherm_2018","english",2009,"Eme, J. and Bennett, W.A., 2009. Critical thermal tolerance polygons of tropical marine fishes from Sulawesi, Indonesia. Journal of Thermal Biology, 34(5), pp.220-225.",,"10.1016/j.jtherbio.2009.02.005","Journal of Thermal Biology","s_120"
"Zebral_et_al_2019","GS","english",2019,"Zebral, Y.D., Roza, M., da Silva Fonseca, J., Costa, P.G., de Oliveira, C.S., Zocke, T.G., Dal Pizzol, J.L., Robaldo, R.B. and Bianchini, A., 2019. Waterborne copper is more toxic to the killifish Poecilia vivipara in elevated temperatures: Linking oxidative stress in the liver with reduced organismal thermal performance. Aquatic Toxicology, 209, pp.142-149.",,"10.1016/j.aquatox.2019.02.005","Aquatic Toxicology","s_422"
"Rendoll_Cárcamo_et_al_2020","GS","english",2020,"Rendoll-Cárcamo, J., Contador, T., Convey, P. and Kennedy, J., 2020. Sub-Antarctic freshwater invertebrate thermal tolerances: an assessment of critical thermal limits and behavioral responses. Insects, 11(2), p.102.","Rendoll-Cárcamo, J., Contador, T., Convey, P. and Kennedy, J., 2020. Sub-Antarctic freshwater invertebrate thermal tolerances: an assessment of critical thermal limits and behavioral responses. Insects, 11(2), p.102.","10.3390/insects11020102","Insects","s_313"
"Katzenberger_et_al_2021","GS","english",2021,"Katzenberger, M., Duarte, H., Relyea, R., Beltrán, J.F. and Tejedo, M., 2021. Variation in upper thermal tolerance among 19 species from temperate wetlands. Journal of Thermal Biology, 96, p.102856.",,"10.1016/j.jtherbio.2021.102856","Journal of Thermal Biology","s_193"
"Zabarburú_et_al_2016","GS","spanish",2016,,"Zabarburú, C.A.C., Koo, F.W.C., Castillo, W.G., del Aguila Panduro, E., Tamani, F.V. and Rios, J.F., 2017. Evaluación de la temperatura letal máxima para Hypostomus hemicochliodon y Pterygoplichthys parda/is (Loricariidae) Assessment of the maximum lethal temperature for Hypostomus hemicochliodon and Pterygoplichthys parda/is (Loricariidae).",,"Revista de Investigación Científica UNTRM: Ciencias Naturales e Ingeniería","s_420"
"Contador_et_al_2020","GS","english",2020,"Contador, T., Gañan, M., Bizama, G., Fuentes-Jaque, G., Morales, L., Rendoll, J., Simoes, F., Kennedy, J., Rozzi, R. and Convey, P., 2020. Assessing distribution shifts and ecophysiological characteristics of the only Antarctic winged midge under climate change scenarios. Scientific Reports, 10(1), p.9087.",,"10.1038/s41598-020-65571-3","Scientific Reports","s_78"
"Chávez_Landi_2017","GS","spanish",2017,,"Chávez Landi, P.A., 2017. Fisiología térmica de un depredador Dasythemis sp.(Odonata: Libellulidae) y su presa Hypsiboas pellucens (Anura: Hylidae) y sus posibles implicaciones frente al cambio climático.",,"Thesis","s_72"
"Nguyen_et_al_2011","Cereja_2020","english",2011,"Nguyen, K.D.T., Morley, S.A., Lai, C.H., Clark, M.S., Tan, K.S., Bates, A.E. and Peck, L.S., 2011. Upper temperature limits of tropical marine ectotherms: global warming implications. PLoS One, 6(12), p.e29340.",,"10.1371/journal.pone.0029340","PLoS One","s_268"
"Amundrud_&_Srivastava_2020","GS","english",2020,"Amundrud, S.L. and Srivastava, D.S., 2020. Thermal tolerances and species interactions determine the elevational distributions of insects. Global Ecology and Biogeography, 29(8), pp.1315-1327.",,"10.1111/geb.13106","Global Ecology and Biogeography","s_9"
"Chung_1980","GS","spanish",1980,,"Chung, K.S., 1980. Tolerancia termica de algunos peces marinos tropicales: estudio preliminar. Boletim do Instituto Oceanográfico, 29, pp.107-108.","10.1590/S0373-55241980000200023","Boletim do Instituto Oceanográfico","s_70"
"Mora_&_Ospina_2001","Cereja_2020","english",2001,"Mora, C. and Ospina, A., 2001. Tolerance to high temperatures and potential impact of sea warming on reef fishes of Gorgona Island (tropical eastern Pacific). Marine Biology, 139, pp.765-769.",,"10.1007/s002270100626","Marine Biology","s_256"
"Rajaguru_2002","Cereja_2020","english",2002,"Rajaguru, S., 2002. Critical thermal maximum of seven estuarine fishes. Journal of Thermal Biology, 27(2), pp.125-128.",,"10.1016/S0306-4565(01)00026-2","Journal of Thermal Biology","s_310"
"Selvakumar_&_Geraldine_2005","Leiva_et_al_2019","english",2005,"Selvakumar, S. and Geraldine, P., 2005. Heat shock protein induction in the freshwater prawn Macrobrachium malcolmsonii: acclimation-influenced variations in the induction temperatures for Hsp70. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 140(2), pp.209-215.",,"10.1016/j.cbpb.2005.01.008","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","s_338"
"Pérez_et_al_2003","Cereja_2020","english",2003,"Pérez, E., D??az, F. and Espina, S., 2003. Thermoregulatory behavior and critical thermal limits of the angelfish Pterophyllum scalare (Lichtenstein)(Pisces: Cichlidae). Journal of Thermal Biology, 28(8), pp.531-537.",,"10.1016/S0306-4565(03)00055-X","Journal of Thermal Biology","s_306"
"Tongnunui_et_al_2023","GS","english",2023,"Tongnunui, S., Sooksawat, T., Chotwiwatthanakun, C., Supiwong, W., Wattanakornsiri, A. and Beamish, F.W.H., 2023. Seasonal Changes in Upper Thermal Tolerances of Freshwater Thai Fishes. Water, 15(2), p.350.","Tongnunui, S., Sooksawat, T., Chotwiwatthanakun, C., Supiwong, W., Wattanakornsiri, A. and Beamish, F.W.H., 2023. Seasonal Changes in Upper Thermal Tolerances of Freshwater Thai Fishes. Water, 15(2), p.350.","10.3390/w15020350","Water","s_370"
"Tremblay _et_al_2022","GS","english",2022,"Tremblay, N., García‐Guerrero, M., Díaz, F., Caamal‐Monsreal, C., Rodríguez‐Fuentes, G., Paschke, K., Gebauer, P. and Rosas, C., 2022. Long‐term mild hypoxia does not reduce thermal tolerance or performance of the freshwater prawn Macrobrachium tenellum. Aquaculture Research, 53(1), pp.63-74.",,"10.1111/are.15553","Aquaculture Research","s_372"
"Hernández_Sandoval_et_al_2018","GS","spanish",2018,,"Hernández-Sandoval, P., Peraza Gómez, V., Bacasegua-Villegas, I., Armenta-Valenzuela, E., Martínez-Valenzuela, C., Alanis-Escalante, J., López-Sánchez, J. and García-Guerrero, M., 2018. Termorregulación, termotolerancia y tasa metabólica de adultos de Macrobrachium tenellum. Ecosistemas y recursos agropecuarios, 5(14), pp.353-363.","10.19136/era.a5nl4.1426 ","Ecosistemas y recursos agropecuarios","s_165"
"Rodriguez_et_al_1996","Cereja_2020","english",1996,"Rodríguez, M.H., Ramirez, L.F.B. and Herrera, F.D., 1996. Critical thermal maximum of Macrobrachium tenellum. Journal of Thermal Biology, 21(2), pp.139-143.",,"10.1016/0306-4565(95)00039-9","Journal of Thermal Biology","s_322"
"Rodríguez_1994","GS","spanish",1994,,"Rodríguez, M.H., 1994. Tolerancia térmica del langostino Macrobrachium tenellum (Crustacea: Palaemonidae) de BCS, México.",,"Master thesis","s_323"
"Heath_et_al_1993","Cereja_2020","english",1993,"Heath, A.G., Turner, B.J. and Davis, W.P., 1993. Temperature preferences and tolerances of three fish species inhabiting hyperthermal ponds on mangrove islands. Hydrobiologia, 259, pp.47-55.",,"10.1007/BF00005964","Hydrobiologia","s_161"
"Hernandez_&_Buckle_2002","GlobTherm_2018","english",2002,"Hernández, M. and Bückle, L.F., 2002. Temperature tolerance polygon of Poecilia sphenops Valenciennes (Pisces: poeciliidae). Journal of Thermal Biology, 27(1), pp.1-5.",,"10.1016/S0306-4565(01)00008-0","Journal of Thermal Biology","s_163"
"Hernandez_Rodriguez_1998","GS","spanish",1998,,"Hernández-Rodríguez, M., 1998. Comportamiento termorregulador de Poecilia sphenops (Pisces: Poeciliidae) aclimatada a temperaturas constantes y fluctuantes (Doctoral dissertation, Thesis, Centro de Investigación Científica y de Educación Superior de Ensenada, BC México).",,"Doctoral thesis","s_164"
"Herrera_et_al_1998","Cereja_2020","english",1998,"Herrera, F.D., Uribe, E.S., Ramirez, L.F.B. and Mora, A.G., 1998. Critical thermal maxima and minima of Macrobrachium rosenbergii (Decapoda: Palaemonidae). Journal of Thermal Biology, 23(6), pp.381-385.",,"10.1016/S0306-4565(98)00029-1","Journal of Thermal Biology","s_166"
"Manush_et_al_2004","Cereja_2020","english",2004,"Manush, S.M., Pal, A.K., Chatterjee, N., Das, T. and Mukherjee, S.C., 2004. Thermal tolerance and oxygen consumption of Macrobrachium rosenbergii acclimated to three temperatures. Journal of Thermal Biology, 29(1), pp.15-19.",,"10.1016/j.jtherbio.2003.11.005","Journal of Thermal Biology","s_236"
"Kumar_et_al_2019","GS","english",2019,"Kumar, N., Brahmchari, R.K., Bhushan, S., Thorat, S.T., Kumar, P., Chandan, N.K., Kumar, M. and Singh, N.P., 2019. Synergistic effect of dietary selenium nanoparticles and riboflavin on the enhanced thermal efficiency of fish against multiple stress factors. Journal of Thermal Biology, 85, p.102417.",,"10.1016/j.jtherbio.2019.102417","Journal of Thermal Biology","s_208"
"Rodriguez_Silva_&_Schlupp_2021","GS","english",2021,"Rodriguez-Silva, R. and Schlupp, I., 2021. Elevational gradients do not affect thermal tolerance at local scale in populations of livebearing fishes of the genus Limia (Cyprinodontiformes: Poeciliinae). Novitates Caribaea, (18), pp.46-62.",,"10.33800/nc.vi18","Novitates Caribaea","s_321"
"Díaz_et_al_2002","Cereja_2020","english",2002,"Dı́az, F., Sierra, E., Re, A.D. and Rodrı́guez, L., 2002. Behavioural thermoregulation and critical thermal limits of Macrobrachium acanthurus (Wiegman). Journal of Thermal Biology, 27(5), pp.423-428.",,"10.1016/S0306-4565(02)00011-6","Journal of Thermal Biology","s_114"
"Das_et_al_2004","Cereja_2020","english",2004,"Das, T., Pal, A.K., Chakraborty, S.K., Manush, S.M., Chatterjee, N. and Mukherjee, S.C., 2004. Thermal tolerance and oxygen consumption of Indian Major Carps acclimated to four temperatures. Journal of Thermal Biology, 29(3), pp.157-163.",,"10.1016/j.jtherbio.2004.02.001","Journal of Thermal Biology","s_93"
"Ahmad_et_al_2020","GS","english",2020,"Ahmad, M., Zuberi, A., Ali, M., Syed, A., Murtaza, M.U.H., Khan, A. and Kamran, M., 2020. Effect of acclimated temperature on thermal tolerance, immune response and expression of HSP genes in Labeo rohita, Catla catla and their intergeneric hybrids. Journal of Thermal Biology, 89, pp.102570-102570.",,"10.1016/j.jtherbio.2020.102570","Journal of Thermal Biology","s_4"
"Roychowdhury_et_al_ 2019","GS","english",2019,"Roychowdhury, P., Aftabuddin, M. and Pati, M.K., 2019. STUDIES ON BIOCHEMICAL RESPONSES OF TABLE SIZED LABEO ROHITA (HAMILTON, 1822) TO THE THERMAL EXPOSURE AT CRITICAL MAXIMUM TEMPERATURE (CT MAX). Exploratory Animal & Medical Research, 9(2).","Roychowdhury, P., Aftabuddin, M. and Pati, M.K., 2019. STUDIES ON BIOCHEMICAL RESPONSES OF TABLE SIZED LABEO ROHITA (HAMILTON, 1822) TO THE THERMAL EXPOSURE AT CRITICAL MAXIMUM TEMPERATURE (CT MAX). Exploratory Animal & Medical Research, 9(2).",,"Exploratory Animal & Medical Research","s_327"
